"ID,""Alimento"",""Energia_kcal"",""Energia_kJ"",""Agua_g"",""Proteinas_g"",""Grasa_total_g"",""CHO_totales_g"",""CHO_disponibles_g"",""Fibra_g"",""Cenizas_g"",""Calcio_mg"",""Fosforo_mg"",""Zinc_mg"",""Hierro_mg"",""B_caroteno_equivalentes_ug"",""Vitamina_A_equivalentes_ug"",""Tiamina_mg"",""Riboflavina_mg"",""Niacina_mg"",""Vitamina_C_mg"",""Acido_Folico_ug"",""Sodio_mg"",""Potasio_mg"",""ID"""
"A_132,""Pan mishtishongo de Huánuco"",410,1715,20.7,9.1,20,48.5,NA,NA,1.8,NA,NA,NA,2.91,NA,NA,1.06,0.29,3.05,NA,191,NA,NA,""A_132"""
"A_133,""Pan mollete de Chiclayo"",284,1189,32.5,10.2,3.8,52.3,NA,NA,1.3,NA,NA,NA,5.62,NA,NA,0.88,0.22,3.7,NA,244,NA,NA,""A_133"""
"A_134,""Pan mollete. chico"",364,1523,25.5,9.6,16.3,47,44.7,2.3,1.6,NA,NA,NA,4.81,NA,NA,0.41,0.34,4.09,NA,NA,NA,NA,""A_134"""
"A_135,""Pan torta de Cajamarca"",355,1487,19.4,9.4,8,61.5,NA,NA,1.7,NA,NA,NA,6.31,NA,NA,1.44,0.45,6.26,NA,159,NA,NA,""A_135"""
"A_136,""Pan 3 granos (quinua. cañihua y kiwicha) de Lima"",219,914,46.5,8.6,2.5,40.5,NA,NA,2,NA,NA,NA,3.72,NA,NA,0.47,0.2,3.56,NA,197,NA,NA,""A_136"""
"A_137,""Pan vico"",343,1437,24.3,9.3,9.1,56.1,NA,NA,1.3,NA,NA,NA,5.16,NA,NA,NA,0.42,NA,NA,NA,NA,NA,""A_137"""
"A_138,""Pan vico de Iquitos"",333,1394,19.3,11.6,4.1,62.4,NA,NA,2.5,NA,NA,NA,5.88,NA,NA,0.7,0.46,4.92,NA,230,NA,NA,""A_138"""
"A_139,""Pasta con huevo sin fortificar. cruda*"",375,1567,9,14.2,4.4,71.3,68,3.3,1.1,35,241,1.92,1.9,NA,17,0.17,0.09,2.1,0,0,21,244,""A_139"""
"A_140,""Pasta con huevo fortificada. cruda*"",375,1567,9,14.2,4.4,71.3,68,3.3,1.1,35,241,1.92,4.01,NA,17,1.13,0.43,8.39,0,201,21,244,""A_140"""
"A_141,""Pasta fortificada. cruda*"",360,1506,9.9,13,1.5,74.7,71.5,3.2,0.9,18,150,1.26,3.52,NA,0,0.89,0.4,7.18,0,219,5,162,""A_141"""
"A_142,""Pasta sin fortificar. cruda*"",360,1506,9.9,13,1.5,74.7,71.5,3.2,0.9,18,150,1.26,1.3,NA,0,0.09,0.06,1.7,0,0,5,162,""A_142"""
"A_143,""Quinua. variedad real"",331,1385,12.9,14.2,5.1,65.9,56.7,9.1,2,NA,NA,2.68,4,NA,NA,0.28,0.3,NA,NA,NA,30,776,""A_143"""
"A_144,""Quinua. variedad Ayara (<U+FFFD>uno)"",276,1156,12.3,14,6.3,62.6,41.1,21.5,4.8,NA,NA,NA,6.25,NA,NA,NA,NA,NA,NA,NA,30,776,""A_144"""
"A_145,""Quinua. variedad blanca de Juli (<U+FFFD>uno)"",347,1453,10.2,11.6,4.8,70.6,63.7,6.9,2.8,NA,NA,NA,4.32,NA,NA,NA,NA,NA,NA,NA,30,776,""A_145"""
"A_146,""Quinua. variedad CICA-18 (Puno)"",345,1445,9.8,14.4,5.7,66.4,58.7,7.6,3.8,NA,NA,NA,4.37,NA,NA,NA,NA,NA,NA,NA,30,776,""A_146"""
"A_147,""Quinua. variedad CICA-127 (Puno)"",360,1506,8.9,15.8,5.2,67.1,62,5.1,3,NA,NA,NA,5.81,NA,NA,NA,NA,NA,NA,NA,30,776,""A_147"""
"A_148,""Quinua. variedad Cuchiwilla (Puno)"",317,1327,11.4,15.2,5.2,64.3,52.1,12.2,3.9,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,NA,30,776,""A_148"""
"A_149,""Quinua. variedad Choclito (Puno)"",342,1430,11.7,13.4,5.2,67.1,59.9,7.2,2.7,NA,NA,NA,4.49,NA,NA,NA,NA,NA,NA,NA,30,776,""A_149"""
"A_150,""Quinua. variedad Chullpi- roja (Puno)"",330,1379,11.3,13.7,5.5,66.9,55.9,10.9,2.7,NA,NA,NA,5.87,NA,NA,NA,NA,NA,NA,NA,30,776,""A_150"""
"A_151,""Quinua. variedad Misa Jiura (Puno)"",349,1460,10.5,12.3,5.4,68.6,62.2,6.4,3.2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,30,776,""A_151"""
"A_152,""Quinua. variedad Pasankalla-roja (Puno)"",355,1486,10.1,12.7,6.2,68.5,61.6,6.9,2.5,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,NA,30,776,""A_152"""
"A_153,""Quinua. variedad Q’ OITU-negra (Puno)"",308,1288,11.5,11.6,4.9,68.2,53.9,14.3,3.8,NA,NA,NA,11.53,NA,NA,NA,NA,NA,NA,NA,30,776,""A_153"""
"A_154,""Quinua. variedad Wariponcho (Puno)"",347,1451,11.5,12.6,5.5,67.9,61.2,6.7,2.6,NA,NA,NA,3.77,NA,NA,NA,NA,NA,NA,NA,30,776,""A_154"""
"A_155,""Quinua. variedad Witulla (Puno)"",350,1464,9.9,13.7,5.9,67.8,60.2,7.7,2.8,NA,NA,NA,4.99,NA,NA,NA,NA,NA,NA,NA,30,776,""A_155"""
"A_156,""Rosquita de almidón de Iquitos"",469,1962,3.3,1.8,18.3,74.2,NA,NA,2.3,NA,NA,NA,2.3,NA,NA,0.03,0.09,0.89,NA,26,NA,NA,""A_156"""
"A_157,""Siete harinas (trigo. habas. arvejas. kiwicha. cañihua. cebada. quinua)"",347,1453,1.5,8.8,3.2,84.8,70.8,14.1,1.6,NA,NA,3.15,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_157"""
"A_158,""Trigo. hojuela de (chaque)"",322,1346,16,10,2.5,70.2,NA,NA,1.4,NA,NA,2.23,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_158"""
"A_159,""Trigo sin tostar (chaquepa)"",338,1416,11.9,7,2.2,77.9,NA,NA,0.9,NA,NA,1.71,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_159"""
"A_160,""Trigo tostado (chaquepa)"",369,1545,3.9,7.6,2.5,84.9,NA,NA,1.1,NA,NA,1.44,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_160"""
"B_1,""Acelga. hojas de (sin tallo)"",8,35,93.3,2.1,0.1,3.2,0.8,2.4,1.4,90,46,0.36,14.4,980,163,0,0.26,0.56,9.29,NA,203,293,""B_1"""
"B_2,""Acelga. tallos de"",9,36,94.8,0.7,0.3,2.8,1.2,1.6,1.4,23,10,0.36,0.5,NA,306,0,0.03,0,4,NA,203,293,""B_2"""
"B_3,""Ají amarillo fresco"",39,163,88.9,0.9,0.7,8.8,NA,NA,0.7,31,21,NA,0.9,NA,445,0.06,0.58,1.25,60,NA,NA,NA,""B_3"""
"B_4,""Ají amarillo molido fresco sin sal"",52,218,60.2,1.9,1.7,9.2,NA,NA,27,97,47,NA,3.5,NA,560,0.18,0.21,1.3,16.2,NA,NA,NA,""B_4"""
"B_5,""Ají amarillo seco"",199,834,16.6,7.3,6.3,64.8,36.1,28.7,5,124,166,1.02,8.2,NA,1324,0.12,1.48,4.15,6,NA,NA,NA,""B_5"""
"B_6,""Ají panca"",189,790,20.2,7,7.8,58.5,29.8,28.7,6.5,142,209,1.02,4.9,NA,1324,0.13,1.79,3.55,23,NA,NA,NA,""B_6"""
"B_7,""Ají colorado no picante (molido con sal)"",43,180,69.8,1.9,1.3,9.2,7.7,1.5,17.8,175,35,0.26,5.6,NA,48,0.12,0.49,0.7,12,NA,NA,NA,""B_7"""
"B_8,""Ají colorado molido"",37,154,72.6,2.1,1,8,6.5,1.5,16.3,130,54,0.26,5,NA,48,0.09,0.44,0.8,19.2,NA,NA,NA,""B_8"""
"B_9,""Ají de mesa"",40,167,89.1,1.8,1.2,7.2,NA,NA,0.7,77,23,NA,1.3,NA,228,0.17,0.6,0.95,104.4,NA,NA,NA,""B_9"""
"B_10,""Ají de vaina"",58,243,83.2,2.6,1.1,11.9,NA,NA,1.2,94,56,NA,1.7,NA,771,0.22,0.47,2.65,12,NA,NA,NA,""B_10"""
"B_11,""Ají dulce"",17,71,91,0.9,0.5,7.1,3.1,4,0.6,10,43,0.25,0.38,NA,22,0.04,0.17,0.89,98.05,NA,NA,NA,""B_11"""
"B_12,""Ají verde"",57,238,82.9,2.5,0.8,12.4,NA,NA,1.4,21,58,NA,1.3,NA,382,NA,0.11,1.47,48.5,NA,NA,NA,""B_12"""
"B_13,""Ajo sin cáscara"",121,508,61.4,5.6,0.8,30.4,28.3,2.1,1.8,94,180,1.16,1.7,NA,0,0.14,0.07,0.42,9.1,NA,69,250,""B_13"""
"B_14,""Albahaca sin tallo"",29,122,86.7,2.9,1.2,7.3,3.4,3.9,1.9,325,38,0.85,5.3,NA,264,0.04,0.13,0.95,20,NA,NA,NA,""B_14"""
"B_15,""Alcachofa"",24,101,77.8,2.2,0.2,18.9,4.9,14,1,42,51,0.49,1,42,7,0.07,0.04,0.85,1.42,NA,NA,NA,""B_15"""
"B_16,""Alfalfa brotes tiernos"",20,84,91.1,4,0.7,3.8,1.3,2.5,0.4,32,70,0.92,5.4,NA,1133,0.08,0.13,0.48,8.2,NA,NA,NA,""B_16"""
"B_17,""Apio. tallo sin hojas"",8,35,94,1,0.2,3.8,1.1,2.8,0.9,91,30,0.21,1.2,NA,22,0.03,0.08,0.23,7.99,NA,76,169,""B_17"""
"B_18,""Berenjena"",12,49,92.4,1,0.1,5.9,2.3,3.6,0.6,20,30,0.16,4.03,3,1,0,0.3,1.31,8.82,NA,6,NA,""B_18"""
"B_19,""Berenjena Costeña o tomate de árbol"",41,172,87.5,1.3,0.3,9.8,NA,NA,1.1,18,28,NA,0.2,NA,300,0.1,0.04,1.2,2.3,NA,NA,NA,""B_19"""
"B_20,""Berro"",31,130,89.3,3.4,0.8,5,4.5,0.5,1.5,234,66,0.11,6.5,NA,235,0.08,0.36,1.06,105.6,NA,NA,NA,""B_20"""
"B_21,""Brocoli"",32,135,89.9,3.9,1.3,4,3.3,0.7,0.9,93,86,0.41,0.84,393,66,0.12,0.1,0.83,114,NA,23,NA,""B_21"""
"B_22,""Caigua"",15,63,95,0.5,0.2,3.3,NA,NA,1,34,43,NA,0.9,NA,9,0.02,0.02,0.17,11.4,NA,NA,NA,""B_22"""
"B_23,""Caigua serrana"",19,80,93.5,1.5,0.1,4.1,NA,NA,0.8,32,32,NA,0.5,NA,33,0.05,0.07,0.3,6.9,NA,NA,NA,""B_23"""
"B_24,""Calabaza china"",13,54,93.1,0.7,0.1,5.8,2.9,2.9,0.3,29,15,0.61,0.1,NA,0,0.02,0.02,0.29,13,NA,NA,NA,""B_24"""
"B_25,""Calabaza italiana"",15,63,93.9,0.5,0.3,4.9,3.2,1.7,0.4,11,19,0.74,0.6,NA,3,0.03,0.04,0.28,10,NA,NA,NA,""B_25"""
"B_26,""Cebolla blanca"",24,102,91.2,0.9,0.1,7.4,6,1.4,0.4,100,33,0.16,0.2,NA,3,0.03,0.05,0.14,7.5,NA,6,168,""B_26"""
"B_27,""Cebolla chilena"",19,79,92.9,0.8,0.1,5.9,4.5,1.4,0.3,20,17,0.16,1,NA,0,0.02,0.04,0.12,3.7,NA,NA,NA,""B_27"""
"B_28,""Cebollita china"",36,150,88.7,2.3,0.4,7.5,NA,NA,1.1,141,61,0.52,1.1,NA,58,0.02,0.01,0.4,10.5,NA,NA,NA,""B_28"""
"B_29,""Cebolla de cabeza"",40,169,86.3,1.4,0.2,11.3,9.9,1.4,0.8,20,35,0.16,1.2,NA,0,0.03,0.06,0.22,4.9,NA,NA,NA,""B_29"""
"B_30,""Cebolla de cola"",26,108,90.6,0.9,0.1,7.8,6.4,1.4,0.6,44,32,0.16,4.9,NA,29,0.04,0.09,0.2,7.2,NA,6,168,""B_30"""
"B_31,""Col blanca"",19,81,93.3,1,1.1,4.2,2.3,1.9,0.5,46,46,0.18,0.44,21,4,0.06,0.03,0.18,31.4,NA,6,250,""B_31"""
"B_32,""Col crespa o repollo. sin cogollo"",15,65,92.4,1.5,0.3,4.9,2.6,2.3,0.9,70,69,0.18,0.4,NA,9,0.03,0.03,0.33,48.5,NA,58,250,""B_32"""
"B_33,""Col china sin tallo"",22,93,91,1.8,0.3,5.3,4.3,1,1.6,70,16,0.19,1.5,NA,0,0.01,0.16,0.66,21.6,NA,58,250,""B_33"""
"B_34,""Col de “Bruselas”"",45,188,81.3,4.6,0.4,12.3,8.5,3.8,1.4,109,11,0.42,1.8,NA,41,0.18,0.17,1.1,82.5,NA,58,250,""B_34"""
"B_35,""Col. hojas de"",32,132,88.1,2.7,0.6,7.6,5.6,2,1,170,42,0.44,0.1,NA,769,0.09,0.06,1.43,96.3,NA,58,250,""B_35"""
"B_36,""Col negra"",14,60,91.7,1.7,0.4,5.5,1.9,3.6,0.7,24,10,0.13,0.2,NA,333,0.04,0.06,0.31,49.3,NA,58,250,""B_36"""
"B_37,""Col silvestre"",54,226,82.9,2.5,0.6,12.1,NA,NA,1.9,477,47,NA,1.1,NA,248,0.05,0.06,NA,136,NA,58,250,""B_37"""
"B_38,""Coliflor sin tallo y sin hojas"",17,72,91.6,2.2,0.6,4.4,1.9,2.5,1.2,26,66,0.28,0.6,NA,4,0.05,0.07,0.49,75.3,NA,NA,NA,""B_38"""
"B_39,""Culantro sin tallo"",34,142,85.6,3.3,1.3,7,4.2,2.8,2.8,259,63,0.5,5.3,NA,1431,0.08,0.27,1.86,37.2,NA,NA,NA,""B_39"""
"B_40,""Chiclayo. calabaza"",16,68,93.2,0.6,0.1,5.6,3.9,1.7,0.5,13,25,0.74,0.2,NA,3,0.08,0.05,0.19,3.7,NA,NA,NA,""B_40"""
"B_41,""Chonta"",49,205,84.9,3.4,0.7,9.7,NA,NA,1.3,138,109,NA,1.7,NA,NA,0.02,0.12,0.72,3.2,NA,NA,NA,""B_41"""
"B_42,""Escarola"",7,30,93.6,1.2,0.2,3.8,0.7,3.1,1.2,85,76,0.79,2,NA,108,0.07,0.07,0.47,8.6,NA,NA,NA,""B_42"""
"B_43,""Esparragos"",15,62,93,2.2,0.3,3.8,2.1,1.7,0.8,35,35,0.54,1.33,230,38,0.09,0.05,0.82,2.32,NA,NA,NA,""B_43"""
"B_44,""Espinaca blanca"",24,102,89.5,1.9,0.6,6.3,4.1,2.2,1.7,80,40,0.53,4.6,NA,469,0.08,0.25,0.65,16.4,NA,NA,NA,""B_44"""
"B_45,""Espinaca negra sin tronco"",24,100,90,2.8,0.9,4.9,2.7,2.2,1.4,234,45,0.53,4.3,NA,469,0.07,0.2,0.69,15.2,NA,NA,NA,""B_45"""
"B_46,""Frejolito chino germinado"",9,38,96.5,1.4,0.1,1.8,1.5,0.3,0.3,22,261,NA,0.86,4,1,0.03,0.07,0.97,5.42,NA,15,NA,""B_46"""
"B_47,""Hierbabuena"",41,171,86.7,3.1,1,7,NA,0,2.2,206,70,1.11,9.1,NA,212,0.06,0.13,1,2,NA,NA,NA,""B_47"""
"B_48,""Huacatay sin tallo"",50,211,83.4,5,0.8,8.8,NA,NA,2,412,79,NA,8.7,NA,426,0.06,0.27,1.47,17.1,NA,NA,NA,""B_48"""
"B_49,""Janchoy. hojas de"",27,113,90.8,1.6,0.2,6,NA,NA,1.4,113,55,NA,2.9,NA,276,0.05,0.13,0.47,22.2,NA,NA,NA,""B_49"""
"B_50,""Jetka. hojas de"",66,276,78.1,7.3,1.7,9.5,NA,NA,3.4,548,133,NA,8.4,NA,350,0.3,0.16,2.72,0.7,NA,NA,NA,""B_50"""
"B_51,""Kailán. hojas de"",48,201,84.9,3.2,0.9,9.1,NA,NA,1.9,581,46,NA,2.4,NA,102,0.03,0.26,0.54,103.8,NA,NA,NA,""B_51"""
"B_52,""Kailán. tallos de"",24,100,92,1.2,0.3,5.2,NA,NA,1.3,301,64,NA,3.1,NA,26,0.01,0.09,0.94,57.6,NA,NA,NA,""B_52"""
"B_53,""Lechuga americana"",7,28,96.6,0.6,0.1,2.4,1.2,1.2,0.3,52,20,0.15,0.1,NA,25,0.02,0.06,0.13,1.5,NA,NA,NA,""B_53"""
"B_54,""Lechuga larga"",12,49,93.4,1.5,0.2,3.9,1.8,2.1,1,64,63,0.23,1.6,NA,290,0.06,0.08,0.52,14.5,NA,NA,NA,""B_54"""
"B_55,""Lechuga redonda"",8,32,95.7,1.3,0.2,2.1,0.8,1.3,0.7,47,49,0.18,1,NA,370,0.06,0.05,0.48,7.4,NA,NA,NA,""B_55"""
"B_56,""Manchay"",53,222,84.8,0.4,0.1,14.4,NA,NA,0.3,44,16,NA,1.3,NA,238,0.36,0.34,0.61,4,NA,NA,NA,""B_56"""
"B_57,""Mastuerzo. hojas de"",44,185,86.3,1.8,1.3,9.2,8.1,1.1,1.4,211,85,0.23,1.3,NA,346,0.09,0.35,1.04,25.2,NA,NA,NA,""B_57"""
"B_58,""Mostaza. hojas de"",21,88,89,3.5,0.6,5.2,2.1,3.1,1.7,478,92,0.27,1.7,NA,50,0.29,0.2,0.8,70,NA,NA,NA,""B_58"""
"B_59,""Muña. seca"",268,1121,16,3.2,2.8,66.3,NA,NA,11.7,2237,269,NA,22.4,NA,306,0.35,1.81,6.85,0,NA,NA,NA,""B_59"""
"B_60,""Nabo"",10,40,94.7,0.6,0.2,3.6,1.8,1.8,0.9,34,34,0.27,0.1,NA,0,0.01,0.04,0.23,21.1,NA,NA,NA,""B_60"""
"B_61,""Nabo. hojas de"",24,100,88.1,2.9,0.4,7,3.8,3.2,1.6,367,95,0.19,2.8,NA,579,0.12,0.38,2.4,49.2,NA,NA,NA,""B_61"""
"B_62,""Orégano fresco"",48,201,85.1,1.6,0.5,11.3,NA,NA,1.5,312,46,NA,9.3,NA,1750,0.08,0.3,0.65,10,NA,NA,NA,""B_62"""
"B_63,""Pacchoy. hojas de"",25,103,90.5,1.3,0.3,6.3,5.3,1,1.6,235,60,0.19,3,NA,223,0.05,0.1,0.73,50,NA,NA,NA,""B_63"""
"B_64,""Pacchoy. tallos de"",18,77,92,0.4,0.2,5.4,4.4,1,2,302,84,0.19,1.2,NA,223,0.01,0.05,0.53,12,NA,NA,NA,""B_64"""
"B_65,""Paico"",41,170,81.7,5,1.1,9.2,5.4,3.8,3,459,65,1.1,6.3,NA,3,0.11,0.42,1.12,34.7,NA,NA,NA,""B_65"""
"B_66,""Pajuro"",120,502,64.4,2.1,0.3,31.5,NA,NA,1.7,25,105,NA,1.2,NA,0,0.05,0.22,1.39,42,NA,NA,NA,""B_66"""
"B_67,""Pepinillo sin cáscara"",9,37,96.4,0.5,0.1,2.6,1.9,0.7,0.4,20,22,0.17,0.3,NA,4,0.03,0.04,0.09,12.6,NA,NA,NA,""B_67"""
"B_68,""Perejil sin tallo"",41,172,82,4.8,0.7,9.9,6.6,3.3,2.6,202,76,1.07,8.7,NA,421,0.07,0.32,2.87,95.8,NA,NA,NA,""B_68"""
"B_69,""Pimiento rojo"",27,114,92.3,1.2,1.3,4.6,3.7,0.9,0.6,12,24,0.25,0.36,450,200,0.04,0.11,1.58,108.3,NA,6,NA,""B_69"""
"B_70,""Pirca"",42,176,86.2,4,0.6,7.6,NA,NA,1.6,230,58,NA,6,NA,132,0.13,0.31,0.82,17,NA,NA,NA,""B_70"""
"B_71,""Poro sin hojas"",34,142,87.8,2.7,0.8,7.6,5.8,1.8,1.1,78,50,0.12,0.7,NA,83,0.09,0.08,0.46,8.6,NA,NA,NA,""B_71"""
"B_72,""Quinua. hojas de"",50,209,81.4,4.7,0.6,9.5,NA,NA,3.8,377,63,NA,1.5,NA,251,0.06,0.95,1.2,11.1,NA,NA,NA,""B_72"""
"B_73,""Rabanitos"",7,31,95.1,0.8,0.1,2.9,1.3,1.6,1.1,36,29,0.28,1,NA,0,0.01,0.02,0.29,18.6,NA,NA,NA,""B_73"""
"B_74,""Rabicol"",22,92,92.8,2,0.2,4.2,NA,NA,0.8,41,41,NA,0.3,NA,1,0.01,0.04,0.43,94.1,NA,NA,NA,""B_74"""
"B_75,""Radicheta o achicoria"",17,70,90,1.9,0.5,6.2,2.2,4,1.4,273,34,0.42,NA,NA,286,0.07,0.14,0.51,9,NA,NA,NA,""B_75"""
"B_76,""Rocoto fresco"",36,151,89.5,1.2,0.5,8.2,NA,NA,0.6,6,22,NA,0.5,NA,35,0.01,0.14,1.15,14.9,NA,NA,NA,""B_76"""
"B_77,""Ruda"",82,343,75.4,4.1,1.7,16.1,NA,NA,2.7,552,72,NA,7.7,NA,879,NA,0.76,1.62,112,NA,NA,NA,""B_77"""
"B_78,""Siuca culantro"",28,116,87.6,1.9,0.5,8.1,5.3,2.8,1.9,195,68,0.5,4.9,NA,337,0.06,0.22,1,0.7,NA,NA,NA,""B_78"""
"B_79,""Tomate"",15,61,94.2,0.8,0.2,4.3,3.1,1.2,0.5,7,20,0.17,0.6,NA,42,0.04,0.06,0.62,18.4,NA,NA,NA,""B_79"""
"B_80,""Tomate italiano"",12,51,94.8,0.8,0.2,3.6,2.4,1.2,0.6,7,25,0.17,0.3,NA,42,0.06,0.06,0.63,32.5,NA,NA,NA,""B_80"""
"B_81,""Tomate. con carne salsa de"",106,444,77.7,2.7,5.7,11,NA,NA,2.9,20,67,NA,2.1,NA,NA,0.13,NA,1.1,9.4,NA,NA,NA,""B_81"""
"B_82,""Tomate. salsa de"",18,76,75,1.5,0.7,3.9,2.4,1.5,18.9,117,64,0.2,3,NA,17,0.1,0.12,0.6,0,NA,NA,NA,""B_82"""
"B_83,""Tomate. salsa concentrada de"",75,314,75.3,2.7,1,16.8,NA,NA,4.2,19,103,NA,2.9,NA,NA,0.12,NA,1.5,26.8,NA,NA,NA,""B_83"""
"B_84,""Vainitas"",25,105,88.2,2.4,0.3,8.1,4.7,3.4,1,88,49,0.24,1.4,NA,35,0.07,0.2,0.71,9.6,NA,NA,NA,""B_84"""
"B_85,""Zanahoria"",19,78,90.2,1,0.3,7.6,3.6,4.1,0.9,51,40,0.15,0.3,6550,1092,0.04,0.04,0.18,3.23,NA,31,95,""B_85"""
"B_86,""Zanahoria. harina de"",293,1226,11.8,7.3,1.5,67.7,NA,NA,11.7,418,384,NA,NA,NA,6089,0.38,0.33,3.74,10,NA,NA,NA,""B_86"""
"B_87,""Zapallo italiano"",14,59,95.4,0.9,0.2,2.9,NA,NA,0.6,27,34,NA,0.3,NA,0,0.01,0.33,0.42,26.2,NA,NA,NA,""B_87"""
"B_88,""Zapallo loche"",58,242,79.8,2.6,0.2,16.2,13.9,2.3,1.1,38,30,0.4,0.33,324,54,0.05,0.08,0.52,7.44,NA,17,219,""B_88"""
"B_89,""Zapallo macre"",26,109,92,0.7,0.2,6.4,NA,NA,0.7,26,17,0.13,0.6,NA,68,0.03,0.04,0.4,5.7,NA,NA,NA,""B_89"""
"B_90,""Ají charapita"",78,326,76.3,3.9,0.8,17.4,NA,NA,1.6,NA,NA,NA,NA,NA,41,NA,NA,NA,5.66,NA,NA,NA,""B_90"""
"B_91,""Ají cerezo"",64,268,80,4.2,0.5,14.1,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""B_91"""
"B_92,""Ají colorado seco**"",328,1374,7.8,9.5,2.8,78.8,NA,NA,1,140,238,NA,3.4,NA,493,0.24,0.84,1.9,55,NA,NA,NA,""B_92"""
"B_93,""Ají uña de pava"",57,241,82.8,3,0.7,12.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""B_93"""
"B_94,""Ajos variedad Barranquino"",115,482,59.4,6.2,0.3,32.6,27.2,5.4,1.5,NA,NA,0.85,0.57,0,0,0.13,0.07,0.09,12.3,NA,69,250,""B_94"""
"B_95,""Ajos variedad Napuri"",115,482,58.6,7.7,0.3,31.8,26.4,5.4,1.6,NA,NA,0.82,0.4,NA,0,0.13,0.07,0.09,12.3,NA,69,250,""B_95"""
"B_96,""Ajos variedad Napuri fresco. molido en aceite sin sal"",203,848,51.5,5.1,9.1,33.2,31.9,1.3,1,NA,NA,2.19,1.07,NA,1,0.35,0.19,0.24,32.78,NA,NA,NA,""B_96"""
"B_97,""Ajos variedad Napuri fresco. molido en aceite con sal"",185,775,49.3,4.8,5.2,37.2,36.3,0.8,3.5,NA,NA,2.49,1.22,NA,1,0.4,0.21,0.27,37.42,NA,NA,NA,""B_97"""
"B_98,""Ajos variedad Napuri fresco. molido en agua sin sal"",77,321,73.2,4.9,0.2,20.9,17.8,3.1,0.9,NA,NA,0.47,0.23,NA,0,0.07,0.04,0.05,7.04,NA,NA,NA,""B_98"""
"B_99,""Ajos variedad Napuri fresco. molido en agua con sal"",84,353,69,5,0.3,21.6,19.6,2,4.1,NA,NA,0.67,0.33,NA,0,0.11,0.06,0.07,9.99,NA,NA,NA,""B_99"""
"B_100,""Alcaparras****"",31,131,78.6,2.3,0.6,5.8,NA,NA,12.7,66,8,4.2,NA,3,0.04,0.15,0,0,NA,NA,NA,100,"""""
"B_101,""Cebolla variedad americana"",22,91,91.1,1.4,0.4,6.9,4.4,2.5,0.3,20,35,0.15,0.21,NA,0,0.04,0.02,0.59,9.84,NA,6,168,""B_101"""
"B_102,""Cebolla variedad perilla"",28,117,89.3,1.4,0.4,8.5,6,2.5,0.4,20,35,0.23,0.22,0,0,0.04,0.02,0.59,9.84,NA,6,168,""B_102"""
"B_103,""Chijchipa"",45,188,85.3,3.3,0.4,9.3,NA,NA,1.7,335,57,NA,8.3,NA,189,0.06,0.43,1.02,70,NA,NA,NA,""B_103"""
"B_104,""Chullcos. ajos silvestres"",92,385,73.7,1.8,0.5,23.5,NA,NA,0.5,22,56,NA,2.1,NA,NA,0.03,0.1,0.67,5,NA,NA,NA,""B_104"""
"B_105,""Col china con hoja y tallo"",15,62,95.1,1.4,1.1,2,0.7,1.2,0.5,NA,NA,NA,13.38,1210,202,0.08,NA,NA,NA,NA,32,NA,""B_105"""
"B_106,""Coliflor con tallo y sin hojas"",20,86,91.9,2.1,0.6,4.7,2.9,1.8,0.7,NA,NA,NA,0.49,2,0,0.08,NA,NA,NA,NA,19,NA,""B_106"""
"B_107,""Culantro. con hojas y tallo"",15,62,88.4,3.5,0.2,5.9,1.2,4.7,1.9,135,60,0.6,4.5,605,101,NA,NA,NA,4.78,NA,22,802,""B_107"""
"B_108,""Espinaca. hojas sin tallo"",30,128,86.9,4.8,1.4,4.7,1.9,2.8,2.2,NA,NA,NA,21.29,2930,488,0.09,NA,NA,NA,NA,32,NA,""B_108"""
"B_109,""Estragón. secos"",269,1126,7.7,22.8,7.2,50.2,42.8,7.4,NA,1139,313,3.9,32.3,NA,1260,0.25,1.34,8.95,50,274,62,3020,""B_109"""
"B_110,""Hinojo. tallo. fresco. crudo"",19,80,92.8,1.9,0.2,3.6,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0.04,0.04,0.3,15.9,NA,NA,NA,""B_110"""
"B_111,""Kión sin cáscara"",49,205,84.9,0.1,0.4,13.7,11.8,2,0.8,12,30,0.44,0.25,110,18,0.04,0,0.35,0.93,0,7,356,""B_111"""
"B_112,""Lechuga de seda"",10,42,95.9,1.3,0.1,2.3,1.7,0.6,NA,39,40,NA,1.3,NA,0,0.09,0.07,0.31,10,NA,NA,NA,""B_112"""
"B_113,""Llampun Cjana “Cjana-cjana”"",254,1061,12.1,29.5,6,36.8,NA,NA,15.6,1600,333,NA,41.1,NA,NA,0.61,1.38,NA,0,NA,NA,NA,""B_113"""
